assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,hits,blockedShots,points_sd,plusMinus_sd,shg_sd,faceoffPctg_sd,blocks_sd,hits_sd,pim_sd,position,points_avg,plusMinus_avg,shg_avg,blocks_avg,hits_avg,pim_avg,faceoffPctg_avg
16,18,28,0.51121,1,62,22,Henrique,0,22,8474641,-8,38,0.6129,C,4,10,20222023,0,0,0.16666,L,132,Adam Henrique,ANA,1090.8064,28,46,0.7037878783635944,1.1285713344861874,0.0,0.5307260062898084,0.8019227673971652,0.7111421833886646,0.8442743437614451,F,0.6129032258064516,-0.12903225806451613,0.0,0.7419354838709677,0.45161290322580644,0.3548387096774194,0.008245322580645162
9,6,15,0.35,1,35,7,Wahlstrom,0,32,8480789,5,16,0.45714,R,1,1,20222023,0,0,0.1,R,70,Oliver Wahlstrom,NYI,729.9428,50,15,0.647759088500265,1.0991648035240769,0.0,0.4182787860472282,0.5993193418115154,1.2486727647664086,1.5560284347645823,F,0.45714285714285713,0.14285714285714285,0.0,0.42857142857142855,1.4285714285714286,0.9142857142857143,0.01
10,6,16,0,1,67,6,Fehérváry,0,31,8480796,-11,16,0.2388,D,0,0,20222023,0,0,0.06593,L,91,Martin Fehérváry,WSH,1200.0149,217,128,0.4600308957439537,1.166664014678377,0.0,0.0,1.4323693270459792,1.9856917456194134,0.9670444001746307,D,0.23880597014925373,-0.16417910447761194,0.0,1.9104477611940298,3.2388059701492535,0.4626865671641791,0.0
24,15,37,0.35555,1,82,15,Farabee,0,41,8480797,-1,39,0.4756,L,0,2,20222023,0,0,0.10344,L,145,Joel Farabee,PHI,1020.6463,71,45,0.6847753727495836,1.184183390945355,0.0,0.3705637507852847,0.7514610001465319,0.9469101886733737,1.261532169480488,F,0.47560975609756095,-0.012195121951219513,0.0,0.5487804878048781,0.8658536585365854,0.5,0.004335975609756097
16,9,21,0.44736,2,70,9,Kurashev,0,14,8480798,-32,25,0.35714,C,0,4,20222023,0,0,0.07758,L,116,Philipp Kurashev,CHI,1045.2285,38,34,0.5864107357649652,1.2384981029539,0.0,0.491822694076341,0.7119963311072642,0.839825054668518,0.5999999999999996,F,0.35714285714285715,-0.45714285714285713,0.0,0.4857142857142857,0.5428571428571428,0.2,0.006390857142857143
69,5,41,0,0,78,7,Hughes,0,34,8480800,15,76,0.97435,D,2,34,20222023,0,1,0.04545,L,154,Quinn Hughes,VAN,1539.6666,29,71,0.8911870357427064,1.3964946253597883,0.0,0.0,0.9224534931769154,0.6623380181071534,0.8856367199574646,D,0.9743589743589743,0.19230769230769232,0.0,0.9102564102564102,0.3717948717948718,0.4358974358974359,0.0
48,24,54,0.48366,6,82,35,Tkachuk,2,126,8480801,-10,83,1.01219,L,11,29,20222023,0,0,0.10086,L,347,Brady Tkachuk,OTT,1117.9268,242,9,0.9434485579190945,1.3009400344482527,0.0,0.5172682565961753,0.3494280190705949,2.0176201812325423,3.2429853829353266,F,1.0121951219512195,-0.12195121951219512,0.0,0.10975609756097561,2.951219512195122,1.5365853658536586,0.005898292682926829
12,9,20,0.4816,0,57,11,McLeod,0,18,8480802,4,23,0.4035,C,0,0,20222023,2,3,0.14102,L,78,Ryan McLeod,EDM,851.1403,40,20,0.6172846345880414,0.9149757761687931,0.18400155231055287,0.5159514049262345,0.5770836562595975,0.8576776534442329,0.729284550555317,F,0.40350877192982454,0.07017543859649122,0.03508771929824561,0.3508771929824561,0.7017543859649122,0.3157894736842105,0.008449122807017543
32,6,26,0,2,82,8,Bouchard,1,28,8480803,6,40,0.4878,D,2,13,20222023,0,1,0.05128,R,156,Evan Bouchard,EDM,1110.9878,95,77,0.7365692131971462,1.3231566819530576,0.0,0.0,0.9796410613899429,1.3294920375578798,0.8147947848043938,D,0.4878048780487805,0.07317073170731707,0.0,0.9390243902439024,1.1585365853658536,0.34146341463414637,0.0
10,3,13,0.47508,0,61,4,Lundestrom,0,2,8480806,-13,14,0.2295,C,0,0,20222023,1,1,0.06666,L,60,Isac Lundestrom,ANA,860.0327,20,43,0.49234942353053107,0.9601016697932017,0.12698306053139075,0.5061751366713163,0.8167159807922062,0.5645631264827068,0.25396612106278144,F,0.22950819672131148,-0.21311475409836064,0.01639344262295082,0.7049180327868853,0.32786885245901637,0.03278688524590164,0.007788196721311476
