assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,hits,blockedShots,points_sd,plusMinus_sd,shg_sd,faceoffPctg_sd,blocks_sd,hits_sd,pim_sd,position,points_avg,plusMinus_avg,shg_avg,blocks_avg,hits_avg,pim_avg,faceoffPctg_avg,faceoffWins,faceoff_avg,faceoff_sd,fights,playerName,team,gp,points_ratio,plusMinus_ratio,shg_ratio,faceoffPctg_ratio,blocks_ratio,hits_ratio,pim_ratio,faceoff_ratio,fights_ratio
15,9,20,0.55643,3,81,12,Henrique,0,16,8474641,2,27,0.33333,C,2,6,20242025,1,1,0.11538,L,104,Adam Henrique,EDM,878.6419,58,85,0.5879447357921309,1.0769791845710803,0.11042310999998975,0.5736523037171636,0.9800634215797206,0.8496123720535923,0.5966936283256581,F,0.3333333333333333,0.024691358024691357,0.012345679012345678,1.0493827160493827,0.7160493827160493,0.19753086419753085,0.006869506172839506,770,7.196261682242991,3.1249351465014694,2,Adam Henrique,EDM,81,0.20991494591721618,0.011888110486668359,0.011117995384971583,0.004365326544251785,0.5299742950719081,0.3871348362149158,0.12371243968992836,1.7445757149288619,0.024691358024691357
3,3,5,0.75,1,43,3,Wahlstrom,0,37,8480789,-6,6,0.13953,R,0,1,20242025,0,0,0.05555,R,54,Oliver Wahlstrom,"NYI,BOS",613.5581,34,30,0.3465038238546822,0.7649713582976062,0.0,0.3001374302125654,0.8500310177905614,1.001351169377255,2.5296510959790037,F,0.13953488372093023,-0.13953488372093023,0.0,0.6976744186046512,0.7906976744186046,0.8604651162790697,0.01744186046511628,7,0.15217391304347827,0.50936410929826,4,Oliver Wahlstrom,"NYI,BOS",43,0.10362754360509648,-0.07905787426234376,0.0,0.0134153975262943,0.3771149845032672,0.39508192590940444,0.24378191863193388,0.10081988309250815,0.09302325581395349
20,5,23,0,0,81,5,Fehérváry,0,25,8480796,18,25,0.30864,D,0,0,20242025,0,2,0.06578,L,76,Martin Fehérváry,WSH,1140.2839,139,150,0.5587016542708519,1.1967032904743335,0.0,0.0,1.474985759388139,1.4075156986711703,0.8409573514037725,D,0.30864197530864196,0.2222222222222222,0.0,1.8518518518518519,1.7160493827160495,0.30864197530864196,0.0,0,0.0,0.0,2,Martin Fehérváry,WSH,81,0.19801222027509954,0.10116169224394334,0.0,0.0,0.7482272755822493,0.7127884497962875,0.16765297418394584,0.0,0.024691358024691357
14,11,21,0.36734,1,81,11,Farabee,0,34,8480797,-17,25,0.30864,L,0,4,20242025,0,0,0.07284,L,151,Joel Farabee,"PHI,CGY",894.8024,94,50,0.512605913383375,1.107951612157263,0.0,0.37082306463294684,0.7464798250780729,1.1701724060318803,1.1532476689537532,F,0.30864197530864196,-0.20987654320987653,0.0,0.6172839506172839,1.1604938271604939,0.41975308641975306,0.004535061728395062,22,0.26190476190476186,0.5999811032549597,6,Joel Farabee,"PHI,CGY",81,0.20404652168672016,-0.09956421295415331,0.0,0.0033082764985497056,0.35344465006327197,0.5347472965442571,0.19493952900629768,0.16369240947405544,0.07407407407407407
7,6,13,0.47087,1,51,7,Kurashev,1,14,8480798,-28,14,0.2745,C,1,1,20242025,0,0,0.12962,L,54,Philipp Kurashev,CHI,823.1568,30,16,0.5268638761782122,1.053727752356424,0.0,0.4797703103187883,0.5770172144926339,0.8442764761416074,0.6882325009719311,F,0.27450980392156865,-0.5490196078431373,0.0,0.3137254901960784,0.5882352941176471,0.27450980392156865,0.009232745098039216,111,2.0181818181818185,2.8379948689229617,0,Philipp Kurashev,CHI,51,0.17978669101051445,-0.2673283287978158,0.0,0.006239309596669903,0.19893599595043848,0.3189517958545393,0.16260189503728353,0.5258427608967,0.0
60,12,47,0,3,68,16,Hughes,0,29,8480800,2,76,1.11764,D,4,29,20242025,0,0,0.08333,L,192,Quinn Hughes,VAN,1543.75,13,67,0.899826972986962,1.52402898918019,0.0,0.0,0.9925108839057036,0.4620081786001478,1.8811462124631242,D,1.1176470588235294,0.029411764705882353,0.0,0.9852941176470589,0.19117647058823528,0.4264705882352941,0.0,0,0.0,0.0,0,Quinn Hughes,VAN,68,0.5882888677311139,0.01165270479537375,0.0,0.0,0.49449873805240824,0.13076292826985692,0.14802115435533542,0.0,0.0
26,15,32,0.51296,5,72,29,Tkachuk,4,123,8480801,0,55,0.76388,L,14,23,20242025,0,0,0.09797,L,296,Brady Tkachuk,OTT,1094.25,228,33,0.7904474041740112,1.3123346456686351,0.0,0.5380235645310005,0.6441510347391795,1.9436506316151003,3.4052145470015716,F,0.7638888888888888,0.0,0.0,0.4583333333333333,3.1666666666666665,1.7083333333333333,0.007124444444444444,189,2.3333333333333326,2.2771001702132443,19,Brady Tkachuk,OTT,72,0.42664693031923745,0.0,0.0,0.004632207599899125,0.27876595498177037,1.075761720041214,0.38779798693258144,0.7120115993224279,0.2638888888888889
33,17,45,0.52325,2,79,20,McLeod,0,16,8480802,13,53,0.67088,C,0,2,20242025,3,6,0.20618,L,97,Ryan McLeod,BUF,1009.6075,17,35,0.8961453174900184,1.296835288593995,0.19113504899419628,0.5427512201114247,0.7247319092809945,0.49480557685296356,0.6033607740664806,F,0.6708860759493671,0.16455696202531644,0.0379746835443038,0.4430379746835443,0.21518987341772153,0.20253164556962025,0.006623417721518987,638,7.876543209876543,3.4079888571710497,0,Ryan McLeod,BUF,79,0.3538157491206624,0.07164508610717567,0.03188108987001089,0.004293250677864065,0.256873530488711,0.14395843630096963,0.12631695177121915,1.7868791108813133,0.0
53,11,41,0,2,82,14,Bouchard,1,32,8480803,14,67,0.81707,D,3,26,20242025,0,0,0.05957,R,235,Evan Bouchard,EDM,1407.5,31,108,0.8282813352091182,1.5125884618257222,0.0,0.0,1.2084867455451218,0.7593361012711264,0.9073695237921118,D,0.8170731707317073,0.17073170731707318,0.0,1.3170731707317074,0.3780487804878049,0.3902439024390244,0.0,0,0.0,0.0,0,Evan Bouchard,EDM,82,0.4469077898441985,0.06795052588636596,0.0,0.0,0.5963690628383707,0.21488150002416442,0.20459795418308147,0.0,0.0
11,4,14,0.47222,1,79,4,Lundestrom,0,10,8480806,-12,15,0.18987,C,0,1,20242025,0,0,0.06666,L,60,Isac Lundestrom,ANA,812.8354,48,68,0.4232469239822905,0.8727754013133268,0.0,0.5017277383088297,0.7751549818934108,0.7189605985398948,0.4869717483967425,F,0.189873417721519,-0.1518987341772152,0.0,0.8607594936708861,0.6075949367088608,0.12658227848101267,0.00597746835443038,454,5.536585365853656,2.4103188836254525,0,Isac Lundestrom,ANA,79,0.13340862679699114,-0.08110889008403929,0.0,0.003980394183277126,0.4848925882250491,0.35346647109012214,0.08512756117760413,1.623480253543858,0.0
10,4,13,0,1,62,4,Samuelsson,0,22,8480807,3,14,0.2258,D,0,1,20242025,0,0,0.07692,L,52,Mattias Samuelsson,BUF,1158.2096,105,93,0.521144981335597,1.2105373287716639,0.0,0.0,1.376648571830364,1.4765774471175253,1.3689738821885789,D,0.22580645161290322,0.04838709677419355,0.0,1.5,1.6935483870967742,0.3548387096774194,0.0,0,0.0,0.0,0,Mattias Samuelsson,BUF,62,0.1484450557859649,0.021889291867819738,0.0,0.0,0.6311408500941234,0.683826136375378,0.14978582598369608,0.0,0.0
20,4,22,0,0,73,5,Evans,0,30,8482858,-12,25,0.34246,D,1,3,20242025,0,0,0.08474,L,59,Ryker Evans,SEA,1168.8356,123,106,0.5544138724615907,1.3448399469890275,0.0,0.0,1.324594493548885,1.413018844737274,0.9339211259758528,D,0.3424657534246575,-0.1643835616438356,0.0,1.452054794520548,1.6849315068493151,0.410958904109589,0.0,0,0.0,0.0,0,Ryker Evans,SEA,73,0.2203182559625025,-0.07010438467449259,0.0,0.0,0.6246486423977293,0.6982670319894531,0.21250034377809487,0.0,0.0
3,1,4,0.48581,0,56,1,Ostapchuk,0,45,8482859,-8,4,0.07142,C,0,0,20242025,0,0,0.03846,L,26,Zack Ostapchuk,"OTT,SJS",565.1607,110,21,0.2575393768188564,0.6388765649999399,0.0,0.5223102324400001,0.6959705453537527,1.3088201572720495,1.9218633337127242,F,0.07142857142857142,-0.14285714285714285,0.0,0.375,1.9642857142857142,0.8035714285714286,0.008675178571428572,157,2.5737704918032778,1.9540543509182084,3,Zack Ostapchuk,"OTT,SJS",56,0.05680026625429513,-0.08716772568966967,0.0,0.005698692938248047,0.22111233065181618,0.8507746729856107,0.27502019663265853,0.8712671420562296,0.05357142857142857
9,8,17,0.46853,0,74,8,Veleno,0,17,8480813,-23,17,0.22972,C,0,0,20242025,0,0,0.10666,L,75,Joseph Veleno,"DET,CHI",727.0945,139,44,0.45164256667752456,0.837074630591815,0.0,0.5073504712430615,0.787038906949245,1.3351050439764744,0.7806320602181718,F,0.22972972972972974,-0.3108108108108108,0.0,0.5945945945945946,1.8783783783783783,0.22972972972972974,0.006331486486486486,227,2.9102564102564106,2.44522505616138,2,Joseph Veleno,"DET,CHI",74,0.15825502434495853,-0.1691879064873281,0.0,0.0042004076737808165,0.33272616073572825,0.8044085139654653,0.1290158336818793,0.8447217127519026,0.02702702702702703
6,3,6,0.33333,1,33,5,Graf,0,8,8484911,-4,11,0.33333,R,1,4,20242025,1,1,0.125,R,40,Collin Graf,SJS,951.5757,20,15,0.5318160234783104,0.9772433634301275,0.17141982574219347,0.2583668047078245,0.6555547773570889,0.8142441722754183,0.6527472493496367,F,0.3333333333333333,-0.12121212121212122,0.030303030303030304,0.45454545454545453,0.6060606060606061,0.24242424242424243,0.010100909090909091,4,0.1111111111111111,0.3928371006591931,0,Collin Graf,SJS,33,0.2176066369748698,-0.06130359239231031,0.02586863363340361,0.008026999006267002,0.2745577861646392,0.3340568019025174,0.1466795618747134,0.07977322765061697,0.0
20,7,25,0,1,74,7,Miller,0,22,8480817,0,27,0.36486,D,0,2,20242025,0,0,0.06363,L,110,K'Andre Miller,NYR,1316.7972,107,110,0.5829636381114325,1.433197144168957,0.0,0.0,1.2219086005899802,1.2854896205904294,0.7114835989777396,D,0.36486486486486486,0.0,0.0,1.4864864864864864,1.445945945945946,0.2972972972972973,0.0,0,0.0,0.0,1,K'Andre Miller,NYR,74,0.23049478590687644,0.0,0.0,0.0,0.6690133365934952,0.6326635364777561,0.17370735978707097,0.0,0.013513513513513514
8,2,10,0,0,54,2,Brodie,0,18,8474673,-18,10,0.18518,D,0,0,20242025,0,0,0.08695,L,23,TJ Brodie,CHI,937.9444,16,58,0.38844772154450075,0.9229582069908973,0.0,0.0,1.0156525333927473,0.4955217837133206,0.8388704928078611,D,0.18518518518518517,-0.3333333333333333,0.0,1.0740740740740742,0.2962962962962963,0.3333333333333333,0.0,0,0.0,0.0,0,TJ Brodie,CHI,54,0.13337569885539968,-0.17334403427048128,0.0,0.0,0.532866680283527,0.19812235403258685,0.18127069559115627,0.0,0.0
17,8,23,0.36666,0,79,11,Nyquist,0,16,8474679,-24,28,0.35443,R,2,3,20242025,1,2,0.10679,L,103,Gustav Nyquist,"NSH,MIN",1011.2151,44,30,0.5745218085017834,1.1622155879633447,0.11179444134592212,0.35415930853738975,0.6618691879696895,0.7588604955606013,0.6033607740664806,F,0.35443037974683544,-0.3037974683544304,0.012658227848101266,0.379746835443038,0.5569620253164557,0.20253164556962025,0.00464126582278481,12,0.13793103448275867,0.37668895650974576,0,Gustav Nyquist,"NSH,MIN",79,0.22510350624110392,-0.14050285736797705,0.011385403072151898,0.003427414923431559,0.22850585244135602,0.31666071682332897,0.12631695177121915,0.1001904125333065,0.0
0,0,0,0,0,8,0,Alexeyev,0,0,8480823,2,0,0.0,D,0,0,20242025,0,0,0.0,L,7,Alexander Alexeyev,WSH,964.25,9,14,0.0,1.0897247358851685,0.0,0.0,1.1989578808281798,0.9270248108869579,0.0,D,0.0,0.25,0.0,1.75,1.125,0.0,0.0,0,0.0,0.0,0,Alexander Alexeyev,WSH,8,0.0,0.11963298118022453,0.0,0.0,0.7958315233127196,0.583801512904337,0.0,0.0,0.0
21,12,32,0.51763,1,78,12,Kotkaniemi,0,50,8480829,9,33,0.42307,C,0,1,20242025,0,0,0.10434,L,115,Jesperi Kotkaniemi,CAR,843.5512,66,28,0.5887673078566685,1.0975587038884351,0.0,0.5621470625387724,0.6399991781717275,1.075090015037776,1.3865134189329011,F,0.4230769230769231,0.11538461538461539,0.0,0.358974358974359,0.8461538461538461,0.6410256410256411,0.006636282051282052,460,4.842105263157897,2.4636976466650338,2,Jesperi Kotkaniemi,CAR,78,0.2662925659313045,0.055009004120226274,0.0,0.004248180091634196,0.21888691394013007,0.4077672968507067,0.2686034094508748,1.3979584123978146,0.02564102564102564
28,10,30,0.25,2,72,20,Svechnikov,0,59,8480830,-8,48,0.66666,R,10,18,20242025,0,0,0.11111,L,180,Andrei Svechnikov,CAR,1026.8194,148,22,0.8333333333333334,1.0613873985857112,0.0,0.11749252997005995,0.5685969302905198,1.4519038161524427,1.3573502463837488,F,0.6666666666666666,-0.1111111111111111,0.0,0.3055555555555556,2.0555555555555554,0.8194444444444444,0.003472222222222222,3,0.03370786516853934,0.18047616184504506,1,Andrei Svechnikov,CAR,72,0.3636363636363636,-0.05390113046550245,0.0,0.003107154749674479,0.1947954567901415,0.8383508121379566,0.3476125135420579,0.02855446493375611,0.013888888888888888
11,2,12,0,1,76,2,Emberson,0,18,8480834,-5,13,0.17105,D,0,0,20242025,0,1,0.03225,R,62,Ty Emberson,EDM,906.8026,125,97,0.4100114855495494,1.1042445180659355,0.0,0.0,1.1308902432960817,1.4573222322611634,0.901291778397037,D,0.17105263157894737,-0.06578947368421052,0.0,1.2763157894736843,1.644736842105263,0.23684210526315788,0.0,0,0.0,0.0,2,Ty Emberson,EDM,76,0.12131293491717901,-0.0312651277545821,0.0,0.0,0.5989589531835607,0.6693207836205589,0.12456904718897877,0.0,0.02631578947368421
10,7,16,0.57774,2,72,8,Drury,0,22,8480835,1,18,0.25,C,1,2,20242025,0,0,0.08602,L,93,Jack Drury,"CAR,COL",775.1805,45,50,0.4930066485916347,0.9203419587238509,0.0,0.5771301320982315,0.8103306747674901,0.7716774657271723,0.7195463248327016,F,0.25,0.013888888888888888,0.0,0.6944444444444444,0.625,0.3055555555555556,0.008024166666666667,497,6.060975609756096,2.7468277089798967,3,Jack Drury,"CAR,COL",72,0.1674473454192766,0.007232508161264489,0.0,0.005087827886460597,0.3836008824927167,0.35277301432711583,0.1776954485860006,1.617628586238422,0.041666666666666664
51,12,46,0,1,73,17,Dahlin,1,54,8480839,11,68,0.9315,D,5,21,20242025,0,1,0.085,L,200,Rasmus Dahlin,BUF,1454.1369,101,98,0.9555715083065911,1.5674010674397587,0.0,0.0,1.2520577920290252,1.15426709221594,1.3036029866707193,D,0.9315068493150684,0.1506849315068493,0.0,1.3424657534246576,1.3835616438356164,0.7397260273972602,0.0,0,0.0,0.0,0,Rasmus Dahlin,BUF,73,0.4763348439872179,0.058691621429103016,0.0,0.0,0.5961062625374027,0.6422423889938578,0.32111697704748543,0.0,0.0
12,4,15,0.52023,0,73,4,Bäck,0,8,8480840,1,16,0.21917,C,0,0,20242025,0,1,0.0909,L,44,Oskar Bäck,DAL,702.2191,28,35,0.475324700627328,0.651513531539404,0.0,0.5602915150928109,0.7235678162325614,0.7333566473602284,0.45515747194071626,F,0.2191780821917808,0.0136986301369863,0.0,0.4794520547945205,0.3835616438356164,0.1095890410958904,0.007126438356164383,113,1.269662921348314,1.6541676677093033,0,Oskar Bäck,DAL,73,0.14856260597994686,0.00829459152188573,0.0,0.004567376216065932,0.2781741746852321,0.22128258741197426,0.07531077784298737,0.4783657554099078,0.0
13,1,14,0,0,82,2,Suter,0,24,8470600,7,15,0.18292,D,0,0,20242025,1,1,0.03225,L,62,Ryan Suter,STL,1168.2804,39,109,0.4169590487141158,1.2610605245740212,0.10975609756097555,0.0,1.2883613912099736,0.7195121951219515,0.7728282691587739,D,0.18292682926829268,0.08536585365853659,0.012195121951219513,1.329268292682927,0.47560975609756095,0.2926829268292683,0.0,0,0.0,0.0,0,Ryan Suter,STL,82,0.12909817643233798,0.037754784859029514,0.01098901098901099,0.0,0.5808821533997629,0.276595744680851,0.16509378371326933,0.0,0.0
3,5,8,0.52505,1,59,5,Kupari,0,16,8480845,-1,8,0.13559,C,0,0,20242025,0,0,0.09433,R,53,Rasmus Kupari,WPG,615.5593,77,31,0.34235609960549435,0.7008838348520448,0.0,0.5539904055971248,0.8100205522270186,1.0293034881823038,0.7774471146562522,F,0.13559322033898305,-0.01694915254237288,0.0,0.5254237288135594,1.305084745762712,0.2711864406779661,0.008899152542372881,280,4.444444444444445,2.659381583309123,0,Rasmus Kupari,WPG,59,0.10101136380937413,-0.00996490894620516,0.0,0.005726645743963496,0.29028605678929276,0.6431195498174144,0.15257075073674525,1.2145342985591028,0.0
7,1,7,0.4988,0,68,1,Dellandrea,0,59,8480848,-31,8,0.11764,C,0,0,20242025,0,1,0.02,R,50,Ty Dellandrea,SJS,708.2647,163,47,0.32218973970892145,0.8649009383842711,0.0,0.5625724335191767,0.7327898531353527,1.5637408567688025,1.6079253326670766,F,0.11764705882352941,-0.45588235294117646,0.0,0.6911764705882353,2.3970588235294117,0.8676470588235294,0.007335294117647059,242,3.3611111111111125,2.65259597980898,6,Ty Dellandrea,SJS,68,0.08897895308840414,-0.24445392436562755,0.0,0.004694370616232323,0.39888072367090766,0.9349848356165499,0.3326962808157559,0.9201978893069057,0.08823529411764706
